    0.00   88.00    0.00     82.55907    154.58708     88.05623      1.97321
    0.00   88.00   10.00     82.26680    155.04738     88.04176     12.26959
    0.00   88.00   20.00     81.98905    155.93095     88.02523     22.48470
    0.00   88.00   30.00     81.73164    157.17671     88.00718     32.60668
    0.00   88.00   40.00     81.49908    158.72707     87.98823     42.62635
    0.00   88.00   50.00     81.29475    160.52826     87.96914     52.53959
    0.00   88.00   60.00     81.12128    162.53006     87.95077     62.34694
    0.00   88.00   70.00     80.98063    164.68529     87.93396     72.05599
    0.00   88.00   80.00     80.87434    166.94917     87.91953     81.67973
    0.00   88.00   90.00     80.80366    169.27885     87.90815     91.23644
    0.00   88.00  100.00     80.76961    171.63295     87.90027    100.74773
    0.00   88.00  110.00     80.77303    173.97113     87.89613    110.23672
    0.00   88.00  120.00     80.81452    176.25372     87.89570    119.72595
    0.00   88.00  130.00     80.89442    178.44127     87.89873    129.23557
    0.00   88.00  140.00     81.01265    180.49397     87.90484    138.78206
    0.00   88.00  150.00     81.16855    182.37112     87.91351    148.37781
    0.00   88.00  160.00     81.36073    184.03024     87.92420    158.03091
    0.00   88.00  170.00     81.58681    185.42638     87.93639    167.74550
    0.00   88.00  180.00     81.84330    186.51120     87.94962    177.52309
    0.00   88.00  190.00     82.12527    187.23250     87.96348    187.36307
    0.00   88.00  200.00     82.42625    187.53429     87.97765    197.26375
    0.00   88.00  210.00     82.73797    187.35811     87.99188    207.22304
    0.00   88.00  220.00     83.05036    186.64676     88.00596    217.23973
    0.00   88.00  230.00     83.35152    185.35136     88.01970    227.31277
    0.00   88.00  240.00     83.62804    183.44316     88.03293    237.44194
    0.00   88.00  250.00     83.86563    180.92978     88.04543    247.62772
    0.00   88.00  260.00     84.05033    177.87326     88.05694    257.86993
    0.00   88.00  270.00     84.17012    174.40254     88.06718    268.16733
    0.00   88.00  280.00     84.21680    170.71069     88.07581    278.51682
    0.00   88.00  290.00     84.18755    167.03082     88.08251    288.91272
    0.00   88.00  300.00     84.08538    163.59593     88.08694    299.34619
    0.00   88.00  310.00     83.91858    160.59859     88.08884    309.80563
    0.00   88.00  320.00     83.69900    158.16679     88.08799    320.27744
    0.00   88.00  330.00     83.44020    156.36115     88.08429    330.74634
    0.00   88.00  340.00     83.15583    155.18715     88.07771    341.19598
    0.00   88.00  350.00     82.85847    154.61324     88.06831    351.61029
    0.00   86.00    0.00     82.02422    138.87822     86.05679      0.67344
    0.00   86.00   10.00     81.49074    140.73055     86.04539     10.84266
    0.00   86.00   20.00     81.00629    143.11333     86.03130     20.98718
    0.00   86.00   30.00     80.57438    145.92329     86.01455     31.09621
    0.00   86.00   40.00     80.19640    149.07854     85.99545     41.15718
    0.00   86.00   50.00     79.87244    152.51062     85.97478     51.15781
    0.00   86.00   60.00     79.60184    156.15945     85.95370     61.08973
    0.00   86.00   70.00     79.38377    159.96997     85.93374     70.95097
    0.00   86.00   80.00     79.21767    163.89023     85.91650     80.74815
    0.00   86.00   90.00     79.10356    167.87032     85.90337     90.49581
    0.00   86.00  100.00     79.04227    171.86206     85.89525    100.21430
    0.00   86.00  110.00     79.03541    175.81885     85.89240    109.92593
    0.00   86.00  120.00     79.08539    179.69577     85.89450    119.65141
    0.00   86.00  130.00     79.19510    183.44948     85.90072    129.40668
    0.00   86.00  140.00     79.36763    187.03760     85.90999    139.20123
    0.00   86.00  150.00     79.60580    190.41791     85.92117    149.03842
    0.00   86.00  160.00     79.91171    193.54634     85.93330    158.91643
    0.00   86.00  170.00     80.28623    196.37428     85.94566    168.83025
    0.00   86.00  180.00     80.72846    198.84435     85.95774    178.77345
    0.00   86.00  190.00     81.23524    200.88448     85.96934    188.73996
    0.00   86.00  200.00     81.80052    202.39932     85.98038    198.72426
    0.00   86.00  210.00     82.41478    203.25833     85.99094    208.72264
    0.00   86.00  220.00     83.06403    203.27939     86.00117    218.73302
    0.00   86.00  230.00     83.72845    202.20880     86.01122    228.75494
    0.00   86.00  240.00     84.38042    199.70462     86.02128    238.79022
    0.00   86.00  250.00     84.98170    195.34991     86.03136    248.84235
    0.00   86.00  260.00     85.48141    188.76563     86.04140    258.91574
    0.00   86.00  270.00     85.81900    179.92511     86.05107    269.01459
    0.00   86.00  280.00     85.94016    169.59746     86.05994    279.14127
    0.00   86.00  290.00     85.82420    159.35184     86.06747    289.29541
    0.00   86.00  300.00     85.49804    150.71999     86.07314    299.47339
    0.00   86.00  310.00     85.01902    144.40378     86.07656    309.66891
    0.00   86.00  320.00     84.44748    140.33566     86.07752    319.87454
    0.00   86.00  330.00     83.83219    138.12523     86.07600    330.08319
    0.00   86.00  340.00     83.20837    137.35701     86.07202    340.28888
    0.00   86.00  350.00     82.60029    137.69226     86.06563    350.48703
    0.00   84.00    0.00     80.99297    125.90546     84.05158      0.21994
    0.00   84.00   10.00     80.29376    129.31334     84.04496     10.32821
    0.00   84.00   20.00     79.67839    133.13950     84.03569     20.43648
    0.00   84.00   30.00     79.14471    137.31424     84.02282     30.53714
    0.00   84.00   40.00     78.68856    141.78233     84.00581     40.61629
    0.00   84.00   50.00     78.30469    146.49487     83.98499     50.65645
    0.00   84.00   60.00     77.98755    151.40445     83.96178     60.64170
    0.00   84.00   70.00     77.73215    156.46280     83.93857     70.56352
    0.00   84.00   80.00     77.53482    161.62006     83.91816     80.42487
    0.00   84.00   90.00     77.39373    166.82491     83.90308     90.24026
    0.00   84.00  100.00     77.30927    172.02594     83.89494    100.03279
    0.00   84.00  110.00     77.28412    177.17307     83.89397    109.82782
